time_seconds,messages_per_10_seconds
1770979830,4929
1770979840,5832
1770979850,5878
1770979860,5860
1770979870,5912
1770979880,7905
1770979890,11658
1770979900,11612
1770979910,11737
1770979920,11475
1770979930,11638
1770979940,11652
1770979950,11593
1770979960,11644
1770979970,11535
1770979980,11595
1770979990,11637
1770980000,11654
1770980010,11546
1770980020,11628
1770980030,11646
1770980040,11490
1770980050,11625
1770980060,11518
1770980070,11608
1770980080,11650
1770980090,11617
1770980100,11421
1770980110,11743
1770980120,10731
1770980130,11655
1770980140,11719
1770980150,11600
1770980160,11503
1770980170,11545
1770980180,11690
1770980190,11612
1770980200,11595
1770980210,11721
1770980220,11632
1770980230,11663
1770980240,11637
1770980250,11559
1770980260,11720
1770980270,11694
1770980280,11459
1770980290,27
